date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-05-06,6.69,6.9,6.55,6.45,284881.19,-0.06,-0.91,6.772,6.767,7.168,441787.91,531143.82,690501.56,2.07
2016-04-29,6.6,6.72,6.61,6.5,264041.0,0.0,0.0,6.896,6.779,7.206,485506.64,556061.61,701007.46,1.92
2016-04-22,7.07,7.08,6.61,6.41,437146.94,-0.54,-7.55,7.024,6.844,7.261,648701.21,576900.96,724645.25,3.17
2016-04-15,6.96,7.24,7.15,6.9,568646.88,0.21,3.03,7.056,6.886,7.309,666950.45,566165.7,758325.41,4.12
2016-04-08,7.16,7.46,6.94,6.71,654223.56,-0.23,-3.21,6.886,6.856,7.382,620953.48,564823.15,866115.45,4.75
2016-04-01,7.25,7.34,7.17,7.05,503474.81,-0.08,-1.1,6.762,6.892,7.398,620499.72,573570.93,883791.72,3.65
2016-03-25,6.81,7.69,7.25,6.73,1080013.88,0.48,7.09,6.662,6.862,7.409,626616.58,596539.59,903986.89,7.83
2016-03-18,6.34,6.82,6.77,6.3,528393.12,0.47,7.46,6.664,6.882,7.407,505100.7,578053.27,903928.84,3.83
2016-03-11,6.33,6.56,6.3,6.23,338662.03,-0.02,-0.32,6.716,7.066,7.45,465380.96,589441.43,968720.78,2.46
2016-03-04,6.67,6.68,6.32,6.07,651954.75,-0.35,-5.25,6.826,7.354,7.477,508692.81,732490.03,999772.91,4.73
2016-02-26,7.31,7.41,6.67,6.56,534059.12,-0.59,-8.13,7.022,7.568,7.485,526642.14,849859.31,984325.46,3.87
2016-02-19,6.86,7.38,7.26,6.77,472434.5,0.23,3.27,7.062,7.632,7.46,566462.59,845953.32,970094.23,3.43
2016-02-05,6.88,7.22,7.03,6.68,329794.38,0.18,2.63,7.1,7.678,7.399,651005.83,872389.54,984664.28,2.39
2016-01-29,7.45,7.46,6.85,6.1,555221.31,-0.45,-6.16,7.416,7.732,7.341,713501.9,950485.11,1007618.44,4.03
2016-01-22,6.8,7.83,7.3,6.7,741701.38,0.43,6.26,7.882,7.908,7.32,956287.24,1167407.75,1020488.19,5.38
2016-01-15,7.27,7.58,6.87,6.64,733161.38,-0.58,-7.79,8.114,7.903,7.248,1173076.49,1194012.5,1016362.1,5.32
2016-01-08,8.55,8.65,7.45,6.98,895150.69,-1.16,-13.47,8.202,7.955,7.256,1125444.04,1211434.2,1053796.46,6.49
2015-12-31,9.21,9.27,8.61,8.6,642274.75,-0.57,-6.21,8.256,7.932,7.3,1093773.24,1229804.42,1140292.42,4.66
2015-12-25,8.4,9.52,9.18,8.37,1769148.0,0.72,8.51,8.048,7.833,7.355,1187468.32,1348000.12,1178473.35,12.83
2015-12-18,7.28,8.85,8.46,7.18,1825647.62,1.15,15.73,7.934,7.599,7.363,1378528.27,1267055.79,1171708.75,13.24
2015-12-11,7.75,7.83,7.31,7.2,494999.16,-0.41,-5.31,7.692,7.402,7.396,1214948.52,1118791.61,1193103.25,3.59
2015-12-04,7.5,7.79,7.72,6.98,736796.69,0.15,1.98,7.708,7.287,7.472,1297424.36,1094235.15,1239703.71,5.34
2015-11-27,8.6,8.6,7.57,7.52,1110750.12,-1.04,-12.08,7.608,7.12,7.531,1365835.6,1096939.03,1293107.45,8.06
2015-11-20,7.25,8.9,8.61,7.2,2724447.75,1.36,18.76,7.618,6.949,7.583,1508531.93,1064751.77,1420592.9,19.76
2015-11-13,7.34,7.66,7.25,7.19,1007748.88,-0.14,-1.89,7.264,6.732,7.642,1155583.32,873568.62,1487804.09,7.31
2015-11-06,7.1,7.45,7.39,6.85,907378.38,0.17,2.35,7.112,6.593,7.841,1022634.69,838711.7,1592098.74,6.58
2015-10-30,7.69,7.69,7.22,7.1,1078852.88,-0.4,-5.25,6.866,6.556,8.019,891045.93,896158.71,1659762.37,7.83
2015-10-23,6.85,7.85,7.62,6.58,1824231.75,0.78,11.4,6.632,6.668,8.27,828042.46,1050780.42,1736546.1,13.23
2015-10-16,6.5,6.96,6.84,6.49,959704.69,0.35,5.39,6.28,6.876,8.491,620971.62,1008946.58,1828620.28,9.33
2015-10-09,6.41,6.53,6.49,6.3,343005.75,0.33,5.36,6.2,7.127,8.674,591553.93,1076361.71,2003745.4,3.33
2015-09-30,6.06,6.25,6.16,6.0,249434.59,0.11,1.82,6.074,7.389,8.823,654788.7,1267414.89,2151405.67,2.43
2015-09-25,5.81,6.38,6.05,5.75,763835.5,0.19,3.24,6.246,7.657,8.941,901271.49,1385172.27,2257750.48,7.43
2015-09-18,6.42,6.51,5.86,5.31,788877.56,-0.58,-9.01,6.704,7.941,9.078,1273518.39,1489275.88,2324154.51,7.67
