Date,Open,High,Low,Close,Volume,Adj Close
1995-01-31,72.00,72.875,70.25,72.125,10969600,12.977231
1995-01-30,72.75,73.00,71.50,71.75,5674000,12.909758
1995-01-27,72.75,73.125,70.625,72.50,10868400,13.044704
1995-01-26,72.375,73.375,72.25,72.375,8627200,13.022213
1995-01-25,72.00,73.125,72.00,72.375,15232000,13.022213
1995-01-24,74.125,74.875,73.50,74.00,12706400,13.314594
1995-01-23,74.50,74.50,72.375,74.25,19654800,13.359576
1995-01-20,76.375,76.50,75.00,75.375,13333600,13.561994
1995-01-19,77.125,77.625,76.375,76.50,6855600,13.764411
1995-01-18,77.625,77.875,76.625,77.25,7370400,13.899357
1995-01-17,77.25,78.00,77.125,77.50,6385200,13.944338
1995-01-16,76.375,78.00,76.375,77.50,10864000,13.944338
1995-01-13,76.75,76.875,75.75,76.375,8121200,13.741921
1995-01-12,75.875,76.375,75.50,76.00,9103600,13.674448
1995-01-11,77.00,77.125,75.25,76.00,9801200,13.674448
1995-01-10,76.00,77.25,75.625,76.625,13683200,13.786902
1995-01-09,75.00,75.875,74.875,75.50,6852000,13.584484
1995-01-06,74.25,75.75,74.125,75.125,12162000,13.517012
1995-01-05,74.375,75.25,73.75,74.00,9083600,13.314594
1995-01-04,73.875,74.625,73.25,74.375,7978800,13.382067
1995-01-03,73.50,73.875,73.375,73.75,4671600,13.269612
1994-12-30,74.25,74.50,73.125,73.50,5780800,13.224631
1994-12-29,73.00,74.375,73.00,74.375,7704800,13.382067
1994-12-28,74.375,74.375,72.50,73.00,5422800,13.134667
1994-12-27,74.125,74.50,73.75,74.25,4933200,13.359576
1994-12-23,73.625,74.25,73.25,73.50,3753600,13.224631
1994-12-22,73.625,74.625,73.50,73.50,10648400,13.224631
1994-12-21,71.125,73.625,71.00,73.625,12847600,13.247121
1994-12-20,71.375,71.625,70.75,70.75,6907200,12.729831
1994-12-19,70.50,71.625,70.50,71.625,9688400,12.887268
1994-12-16,70.875,70.875,69.875,70.125,11776000,12.617377
1994-12-15,70.375,71.00,70.125,70.50,7541200,12.68485
1994-12-14,69.50,70.625,69.375,70.25,8176800,12.639868
1994-12-13,70.75,71.00,69.625,69.75,5476400,12.549905
1994-12-12,71.125,71.375,69.625,70.625,8822400,12.707341
1994-12-09,69.625,71.50,69.50,71.50,9892000,12.864777
1994-12-08,71.125,71.50,69.75,70.125,6871600,12.617377
1994-12-07,70.75,71.375,70.625,71.25,5262400,12.819795
1994-12-06,71.25,72.00,71.25,71.625,7715200,12.887268
1994-12-05,71.625,72.375,71.375,71.375,8198400,12.842286
1994-12-02,69.25,71.375,68.875,71.375,7975200,12.842286
1994-12-01,70.625,70.75,69.25,69.50,6638000,12.504923
1994-11-30,71.125,71.25,70.625,70.75,7846400,12.729831
1994-11-29,70.625,71.00,70.25,70.625,5386000,12.707341
1994-11-28,70.875,71.625,70.25,70.625,7978800,12.707341
1994-11-25,70.00,70.875,70.00,70.75,4382800,12.729831
1994-11-23,69.25,70.00,68.00,70.00,18755600,12.594886
1994-11-22,72.75,72.875,69.375,69.75,9564400,12.549905
1994-11-21,73.25,74.125,72.625,72.875,6680400,13.112176
1994-11-18,73.00,73.375,72.75,73.25,12490400,13.179649
1994-11-17,73.25,73.75,72.75,73.125,7262000,13.157158
1994-11-16,73.00,73.125,72.625,72.75,5089200,13.089685
1994-11-15,72.875,73.875,72.50,73.125,6997200,13.157158
1994-11-14,72.75,73.00,72.25,72.875,6049600,13.112176
1994-11-11,72.00,73.00,71.75,72.375,7391600,13.022213
1994-11-10,73.50,73.625,71.625,72.00,10746000,12.95474
